CU WBS #,CU,Unit Of Measure,Description,Compatible Unit Group,Install Hours,Removal Hours,Transfer Hours,Install Price,Removal Price,Transfer Price
CU-4509,XCO-27-200-10,EA,"XCO,27kV,200 Amp,10kA",CO,0.2560,0.1280,0.3520,$62.42,$26.52,$80.50
CU-4510,XCO-27P-100-8,EA,"XCO,27kV Porcelain,100 Amp,8kA",CO,0.2560,0.1280,0.3520,$62.42,$26.52,$80.50
CU-4511,XCO-27P-100-8-C,EA,"XCO,27kV Porcelain,100 Amp,8kA,Corrosive",CO,0.2560,0.1280,0.3520,$62.42,$26.52,$80.50
CU-4512,XCO-27P-200-7,EA,"XCO,27kV,Porcelain, 200 Amp,7kA",CO,0.2560,0.1280,0.3520,$62.42,$26.52,$80.50
CU-4513,XCO-35-100-8,EA,"XCO,35kVPolymer,100 Amp, 8kA",CO,0.2560,0.1280,0.3520,$62.42,$26.52,$80.50
CU-4514,XCO-35P-100-8,EA,"XCO,35kV Porcelain,100 Amp,8kA",CO,0.2560,0.1280,0.3520,$62.42,$26.52,$80.50
CU-4515,XCO-38-100-8,EA,"XCO,38kV,100 Amp,8kA",CO,0.2560,0.1280,0.3520,$62.42,$26.52,$80.50
CU-4516,XFR-10-12D-120-2B-T,EA,"XFR,10kva,12kV delta,120/240,2BG,TP",XFR-S,1.2800,0.9440,1.0400,$234.00,$159.00,$203.00
CU-4517,XFR-10-12D-240-2B-T,EA,"XFR,10 kva,12kvdelta,240/480v,2BG,Taps",XFR-S,1.2800,0.9440,1.0400,$234.00,$159.00,$203.00
CU-4518,XFR-10-144-120-1B-T,EA,"XFR,10KVA,14.4/24.9kVY,120/240,TP",XFR-S,1.1840,0.8000,1.0400,$234.00,$159.00,$203.00
CU-4519,XFR-10-144-120CUT-1B,EA,"XFR,10KVA,14.4/24.9kVY,120CUTOVER,1B",XFR-S,1.1840,0.8000,1.0400,$234.00,$159.00,$203.00
CU-4520,XFR-10-144-240-1B-T,EA,"XFR,10KVA,14.4/24.9kVY,1BG,Tps",XFR-S,1.1840,0.8000,1.0400,$234.00,$159.00,$203.00
CU-4521,XFR-10-199-120-1B,EA,"XFR,10KVA,19.9/34.5kVY,120/240,1BG",XFR-S,1.1840,0.8000,1.0400,$234.00,$159.00,$203.00
CU-4522,XFR-10-199-120-2B,EA,"XFR,10KVA,19.9/34.5kV,120/240,2BG",XFR-S,0.0000,0.0000,1.0400,$234.00,$159.00,$203.00
CU-4523,XFR-10-199-240-2B,EA,"XFR,10KVA,19.9/34.5kVY,240/480,2BG",XFR-S,1.1840,0.8000,1.0400,$234.00,$159.00,$203.00
CU-4524,XFR-10-199-277-1B,EA,"XFR,10KVA,19.9/34.5kVY,277,1BG",XFR-S,1.1840,0.8000,1.0400,$234.00,$159.00,$203.00
CU-4525,XFR-10-24-120-1B,EA,"XFR,10KVA,4.16gndY/2.4kV,120/240,1BG",XFR-S,1.1840,0.8000,1.0400,$234.00,$159.00,$203.00
CU-4526,XFR-10-24-120-2B,EA,"XFR,10KVA,2.4/4.1kVY,120/240,2BG",XFR-S,1.1840,0.8000,1.0400,$234.00,$159.00,$203.00
CU-4527,XFR-10-24-277-1B,EA,"XFR,10KVA,4.16gndY/2.4kV,277/480,1BG",XFR-S,1.1840,0.8000,1.0400,$234.00,$159.00,$203.00
CU-4528,XFR-10-72-120-1B,EA,"XFR,10KVA,7.2/12.4kVY,120/240,1BG",XFR-S,1.1840,0.8000,1.0400,$234.00,$159.00,$203.00
CU-4529,XFR-10-72-120-1B-S,EA,"XFR,10KVA,7.2/12.4kVY,120/240,1BG,SS",XFR-S,1.1840,0.8000,1.0400,$234.00,$159.00,$203.00
CU-4530,XFR-10-72-120-2B,EA,"XFR,10KVA,7.2/12.4kVY,120/240,2BG",XFR-S,1.1840,0.8000,1.0400,$234.00,$159.00,$203.00
CU-4531,XFR-10-72-120-2B-S,EA,"XFR,10KVA,7.2/12.4kVY,120/240,2BG,SS",XFR-S,1.1840,0.8000,1.0400,$234.00,$159.00,$203.00
CU-4532,XFR-10-72-120CUT-1B,EA,"XFR,10KVA,7.2/12.4kVY,120 CUTOVER,1BG",XFR-S,1.1840,0.8000,1.0400,$234.00,$159.00,$203.00
CU-4533,XFR-10-72-120CUT-1B-S,EA,"XFR,10KVA,7.2/12.4kVY,120 CUTOVER,1BG,SS",XFR-S,1.1840,0.8000,1.0400,$234.00,$159.00,$203.00
CU-4534,XFR-10-72-208-2B-S,EA,"XFR,10KVA,7.2/12.4kVY,120/208,2BG,SS",XFR-S,1.1840,0.8000,1.0400,$234.00,$159.00,$203.00
CU-4535,XFR-10-72-240-2B,EA,"XFR,10KVA,7.2/12.4kVY,240/480,2BG",XFR-S,1.1840,0.8000,1.0400,$234.00,$159.00,$203.00
CU-4536,XFR-10-72-240-2B-B,EA,"XFR,10KVA,7.2/12.4kVY,240/480,2BG,TS",XFR-S,1.1840,0.8000,1.0400,$234.00,$159.00,$203.00
CU-4537,XFR-10-72-277-1B,EA,"XFR,10KVA,7.2/12.4kVY,277,1BG",XFR-S,1.1840,0.8000,1.0400,$234.00,$159.00,$203.00
CU-4538,XFR-10-72-277-1B-T,EA,"XFR,10KVA,7.2/12.47kVY,277/480,1BG,Taps",XFR-S,1.1840,0.8000,1.0400,$234.00,$159.00,$203.00
CU-4539,XFR-10-72-277-2B-B,EA,"XFR,10KVA,7.2/12.4kVY,277,2BG,TS",XFR-S,1.1840,0.8000,1.0400,$234.00,$159.00,$203.00
